27-09 02:43:43: Training starting...
27-09 02:43:45: New best reward 16.0 (-100.0%) at episode 0, saving model...
27-09 02:43:45: New best reward 21.0 (+31.2%) at episode 2, saving model...
27-09 02:43:46: New best reward 40.0 (+90.5%) at episode 4, saving model...
27-09 02:43:46: New best reward 41.0 (+2.5%) at episode 14, saving model...
27-09 02:43:46: New best reward 55.0 (+34.1%) at episode 21, saving model...
27-09 02:43:46: New best reward 62.0 (+12.7%) at episode 27, saving model...
27-09 02:43:46: New best reward 69.0 (+11.3%) at episode 73, saving model...
27-09 02:43:49: New best reward 87.0 (+26.1%) at episode 345, saving model...
27-09 02:43:49: New best reward 119.0 (+36.8%) at episode 409, saving model...
27-09 02:43:49: New best reward 136.0 (+14.3%) at episode 419, saving model...
27-09 02:43:52: New best reward 159.0 (+16.9%) at episode 724, saving model...
27-09 02:43:56: New best reward 170.0 (+6.9%) at episode 988, saving model...
27-09 02:43:57: New best reward 211.0 (+24.1%) at episode 1038, saving model...
27-09 02:43:59: New best reward 236.0 (+11.8%) at episode 1123, saving model...
27-09 02:44:20: New best reward 246.0 (+4.2%) at episode 1719, saving model...
27-09 02:44:22: New best reward 272.0 (+10.6%) at episode 1761, saving model...
27-09 02:44:26: New best reward 318.0 (+16.9%) at episode 1836, saving model...
27-09 02:44:45: New best reward 337.0 (+6.0%) at episode 2160, saving model...
27-09 02:44:50: New best reward 366.0 (+8.6%) at episode 2229, saving model...
27-09 02:45:03: New best reward 382.0 (+4.4%) at episode 2421, saving model...
27-09 02:45:12: New best reward 406.0 (+6.3%) at episode 2541, saving model...
27-09 02:45:15: New best reward 434.0 (+6.9%) at episode 2600, saving model...
27-09 02:45:32: New best reward 476.0 (+9.7%) at episode 2815, saving model...
27-09 02:45:54: New best reward 489.0 (+2.7%) at episode 3090, saving model...
27-09 02:59:10: New best reward 100000.0 (+20349.9%) at episode 13021, saving model...
