27-09 02:36:55: Training starting...
27-09 02:37:00: New best reward -5.7 (-100.0%) at episode 0, saving model...
27-09 02:37:01: New best reward -5.1 (-10.5%) at episode 46, saving model...
27-09 02:37:02: New best reward -3.3 (-35.3%) at episode 70, saving model...
27-09 02:37:02: New best reward -2.7 (-18.2%) at episode 90, saving model...
27-09 02:37:07: New best reward -2.1 (-22.2%) at episode 433, saving model...
27-09 02:37:07: New best reward -0.9 (-57.1%) at episode 475, saving model...
27-09 02:37:09: New best reward 3.9 (-533.3%) at episode 632, saving model...
27-09 02:40:34: New best reward 4.1 (+5.1%) at episode 12472, saving model...
27-09 02:40:47: New best reward 4.2 (+2.4%) at episode 13063, saving model...
27-09 02:40:57: New best reward 4.3 (+2.4%) at episode 13538, saving model...
27-09 02:41:03: New best reward 6.3 (+46.5%) at episode 13797, saving model...
27-09 02:44:00: New best reward 6.4 (+1.6%) at episode 21356, saving model...
27-09 02:44:01: New best reward 8.4 (+31.2%) at episode 21420, saving model...
27-09 02:46:14: New best reward 8.8 (+4.8%) at episode 26512, saving model...
27-09 02:46:30: New best reward 10.5 (+19.3%) at episode 27129, saving model...
27-09 02:47:50: New best reward 10.7 (+1.9%) at episode 30027, saving model...
27-09 02:48:49: New best reward 12.9 (+20.6%) at episode 32115, saving model...
27-09 02:49:14: New best reward 13.2 (+2.3%) at episode 32948, saving model...
27-09 02:50:05: New best reward 13.8 (+4.5%) at episode 34645, saving model...
27-09 02:52:08: New best reward 20.8 (+50.7%) at episode 38515, saving model...
27-09 02:54:38: New best reward 26.9 (+29.3%) at episode 42792, saving model...
27-09 02:57:38: New best reward 29.4 (+9.3%) at episode 47647, saving model...
27-09 03:00:15: New best reward 40.9 (+39.1%) at episode 51532, saving model...
27-09 03:04:01: New best reward 45.9 (+12.2%) at episode 56875, saving model...
27-09 03:05:42: New best reward 50.4 (+9.8%) at episode 58938, saving model...
27-09 03:05:49: New best reward 54.9 (+8.9%) at episode 59054, saving model...
27-09 03:12:07: New best reward 65.5 (+19.3%) at episode 65874, saving model...
27-09 03:32:46: New best reward 80.8 (+23.4%) at episode 86332, saving model...
27-09 04:11:56: New best reward 93.1 (+15.2%) at episode 127495, saving model...
